timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-03-17,0.01317500,0.01319700,0.01217700,0.01237500,102574.45300000,1679097599999,1296.41588520,155417,43128.72100000,544.66825532,0
2023-03-18,0.01237600,0.01262100,0.01208100,0.01230300,62141.50700000,1679183999999,769.39053541,111815,28907.04300000,358.14914157,0
2023-03-19,0.01230300,0.01249900,0.01196700,0.01203300,51934.28000000,1679270399999,634.95098081,81356,24151.77500000,295.44038802,0
2023-03-20,0.01203200,0.01226400,0.01183900,0.01199300,53133.80400000,1679356799999,640.03679109,98097,27146.93500000,327.16141005,0
2023-03-21,0.01199300,0.01207400,0.01187200,0.01189700,47857.89000000,1679443199999,573.60804068,75792,26596.18200000,318.81535610,0
2023-03-22,0.01189700,0.01204200,0.01141500,0.01177900,134004.76400000,1679529599999,1570.53396739,154685,65266.76400000,763.79354628,0
2023-03-23,0.01177800,0.01182600,0.01149500,0.01164100,45590.62400000,1679615999999,532.75886680,77959,22918.37000000,267.99046980,0
2023-03-24,0.01164100,0.01179600,0.01142300,0.01172600,33778.76700000,1679702399999,390.64087239,49088,17153.40400000,198.50780404,0
2023-03-25,0.01172600,0.01182800,0.01165900,0.01173600,28667.56800000,1679788799999,336.79438329,40950,14389.53600000,169.11029665,0
2023-03-26,0.01173600,0.01180900,0.01164100,0.01174600,17747.17900000,1679875199999,208.46664715,31740,8889.35100000,104.44622205,0
2023-03-27,0.01174700,0.01194700,0.01130700,0.01144700,71657.12100000,1679961599999,830.91091953,76136,35510.61900000,411.68398455,0
2023-03-28,0.01144800,0.01160000,0.01137500,0.01149200,65955.59300000,1680047999999,757.78787861,65204,36415.15200000,418.53105103,0
2023-03-29,0.01149200,0.01150700,0.01103500,0.01106600,54237.52500000,1680134399999,610.85964756,51872,27839.54200000,313.94548725,0
2023-03-30,0.01106700,0.01135300,0.01086600,0.01128900,54041.95400000,1680220799999,598.46110257,68159,29001.36800000,321.03276776,0
2023-03-31,0.01128900,0.01137900,0.01108200,0.01113000,35068.68900000,1680307199999,394.10016645,59387,18199.28900000,204.54987375,0
2023-04-01,0.01113000,0.01115500,0.01098200,0.01106400,43181.19300000,1680393599999,477.65355784,44375,27819.50500000,307.67658445,0
2023-04-02,0.01106400,0.01119400,0.01105700,0.01113700,20984.24800000,1680479999999,233.26873588,35569,11403.35000000,126.79326913,0
2023-04-03,0.01113800,0.01123800,0.01085200,0.01110300,46425.17400000,1680566399999,512.98766261,81644,23156.32700000,255.96224252,0
2023-04-04,0.01110400,0.01116400,0.01091700,0.01103100,28960.49300000,1680652799999,319.92388539,48310,14910.83700000,164.80033434,0
2023-04-05,0.01103000,0.01118900,0.01090300,0.01114300,28993.29300000,1680739199999,320.89814549,52992,16065.69000000,177.82223336,0
2023-04-06,0.01114300,0.01122300,0.01110200,0.01113700,24082.15400000,1680825599999,269.01911422,42073,12283.46400000,137.23379021,0
2023-04-07,0.01113700,0.01115800,0.01110600,0.01112200,12387.76300000,1680911999999,137.92932233,25775,5824.92400000,64.86092571,0
2023-04-08,0.01112300,0.01117500,0.01108400,0.01111400,10272.45500000,1680998399999,114.33812181,23265,4967.34300000,55.29781243,0
2023-04-09,0.01111400,0.01115400,0.01097400,0.01104200,13065.08000000,1681084799999,144.88623338,30085,6368.49300000,70.65086625,0
2023-04-10,0.01104200,0.01108200,0.01059600,0.01074500,28362.30600000,1681171199999,307.86015264,50608,13658.42500000,148.27447461,0
2023-04-11,0.01074600,0.01108200,0.01062900,0.01067200,55430.58900000,1681257599999,600.70730385,90094,29204.43700000,316.64404139,0
2023-04-12,0.01067200,0.01071900,0.01054000,0.01070400,27084.99200000,1681343999999,288.19531421,45258,13531.30700000,143.98292888,0
2023-04-13,0.01070400,0.01080000,0.01057600,0.01068600,35746.61800000,1681430399999,381.94693972,46745,21372.54000000,228.55085511,0
2023-04-14,0.01068700,0.01091000,0.01064700,0.01079500,48745.35700000,1681516799999,526.76234886,76108,23630.65900000,255.29421274,0
2023-04-15,0.01079400,0.01105800,0.01076500,0.01099300,34227.37700000,1681603199999,374.52936632,52463,17851.76000000,195.35618850,0
2023-04-16,0.01099200,0.01160000,0.01095100,0.01147200,69392.86400000,1681689599999,785.39319273,88936,34764.49000000,394.14788515,0
2023-04-17,0.01147200,0.01167000,0.01143500,0.01154700,43894.13000000,1681775999999,507.34835049,78120,23125.53800000,267.27260274,0
2023-04-18,0.01154700,0.01167000,0.01125800,0.01129200,47271.80500000,1681862399999,540.77853293,77393,22218.39100000,254.31981332,0
2023-04-19,0.01129100,0.01135100,0.01107800,0.01119200,53713.30100000,1681948799999,601.05561275,98373,29391.73800000,328.84320583,0
2023-04-20,0.01119200,0.01139200,0.01112800,0.01126000,32744.75700000,1682035199999,368.64742945,61347,16766.22700000,188.81894551,0
2023-04-21,0.01126000,0.01183700,0.01125700,0.01178600,86007.27200000,1682121599999,1002.01547136,116165,45527.24500000,530.23028318,0
2023-04-22,0.01178500,0.01206800,0.01174500,0.01194200,45650.00300000,1682207999999,543.97955673,62422,23783.31700000,283.39682903,0
2023-04-23,0.01194300,0.01203600,0.01192500,0.01198400,31097.01400000,1682294399999,372.45325266,50812,17961.75300000,215.16152670,0
2023-04-24,0.01198500,0.01215100,0.01192000,0.01203700,39088.54200000,1682380799999,470.88721765,72226,19391.56800000,233.59122216,0
2023-04-25,0.01203700,0.01216400,0.01188100,0.01195500,40773.38300000,1682467199999,491.25058005,66530,19080.29800000,229.96977000,0
2023-04-26,0.01195500,0.01196800,0.01145000,0.01163200,74040.65600000,1682553599999,865.71907113,107997,38718.09300000,453.31856102,0
2023-04-27,0.01163300,0.01163300,0.01122000,0.01122400,50061.90400000,1682639999999,571.00164230,81313,23957.87500000,273.07583407,0
2023-04-28,0.01122500,0.01123400,0.01085100,0.01105500,88252.32700000,1682726399999,973.82634753,112704,42349.68700000,467.07769139,0
2023-04-29,0.01105500,0.01107600,0.01098900,0.01101000,18562.27900000,1682812799999,204.60573676,33363,9321.71800000,102.75796797,0
2023-04-30,0.01101000,0.01158500,0.01085200,0.01154700,63945.57300000,1682899199999,716.85190045,78931,33645.19300000,377.60288414,0
2023-05-01,0.01154700,0.01182000,0.01148500,0.01170000,89229.49100000,1682985599999,1043.62529791,105438,44427.41600000,519.41534538,0
2023-05-02,0.01170000,0.01172600,0.01118100,0.01121600,52252.30100000,1683071999999,599.25705486,69837,27959.27100000,320.99543833,0
2023-05-03,0.01121600,0.01145500,0.01120000,0.01122900,72351.51700000,1683158399999,819.29969417,80186,35118.24400000,398.08262466,0
2023-05-04,0.01122800,0.01131700,0.01115200,0.01123000,31191.64400000,1683244799999,350.18860668,42714,15905.72300000,178.60222918,0
2023-05-05,0.01123100,0.01123800,0.01100600,0.01106700,44746.42500000,1683331199999,497.74719478,56212,21839.51300000,243.04255632,0
2023-05-06,0.01106700,0.01126900,0.01101500,0.01118400,21317.62500000,1683417599999,237.05392878,30577,11654.98100000,129.61945161,0
